Team,TS%,eFG%,oREB%,dREB%,tREB%,AST%,TOV%,STL%,BLK%,PPS,oRAT,dRAT,eDIF,POS,PACE
Milwaukee,0.54,0.5,19.1,78.5,47.2,61.0,12.3,6.9,8.6,1.2,113.5,104.7,8.8,4235.7,102.8
Boston,0.54,0.51,22.2,77.8,50.3,58.8,14.0,6.9,7.0,1.2,111.7,105.4,6.3,4208.6,99.2
Golden State,0.55,0.51,21.7,76.8,48.3,58.9,11.5,7.8,6.0,1.2,115.4,109.7,5.6,4273.4,100.7
Toronto,0.54,0.51,23.9,76.9,49.7,60.2,13.3,7.2,8.3,1.2,112.6,107.2,5.4,4553.3,100.0
Indiana,0.55,0.51,22.7,77.7,49.4,62.2,14.5,7.6,8.6,1.2,109.9,104.5,5.4,4143.9,98.4
Oklahoma City,0.55,0.51,22.0,73.6,48.2,60.9,15.1,8.0,8.0,1.2,108.7,103.5,5.2,4357.4,103.2
Denver,0.55,0.52,22.0,71.7,47.0,60.9,12.4,7.9,9.2,1.2,112.8,107.8,5.1,4007.3,97.2
San Antonio,0.56,0.52,21.4,78.6,49.6,59.5,11.4,7.6,7.0,1.2,113.1,110.3,2.8,4367.1,98.3
Utah,0.55,0.51,20.0,78.2,48.8,52.8,13.3,8.7,9.0,1.2,108.1,105.3,2.8,4395.7,99.9
New Orleans,0.56,0.53,23.2,74.4,48.1,59.7,11.8,8.3,8.5,1.3,114.1,112.0,2.2,4405.6,102.5
Portland,0.55,0.51,21.8,75.1,47.7,57.0,11.0,7.8,9.2,1.2,111.3,109.2,2.2,4321.0,99.5
Houston,0.57,0.53,24.5,75.2,50.6,56.3,12.9,8.5,11.1,1.3,114.1,112.0,2.0,4003.4,96.9
Philadelphia,0.55,0.51,21.3,76.0,47.8,54.5,11.6,7.8,7.3,1.2,111.1,109.2,2.0,4536.6,101.9
L.A. Clippers,0.55,0.51,24.9,77.7,50.1,57.3,11.1,8.1,9.6,1.2,112.7,111.6,1.1,4296.2,101.3
Miami,0.54,0.5,23.2,73.7,48.6,57.8,12.7,7.4,9.9,1.2,108.0,106.9,1.0,4050.4,98.5
L.A. Lakers,0.54,0.5,23.6,78.2,50.1,56.6,12.2,8.0,8.9,1.2,107.6,106.7,0.9,4467.7,103.6
Minnesota,0.56,0.53,25.6,75.1,50.6,62.1,13.5,6.4,8.5,1.2,110.9,110.4,0.6,4326.1,100.1
Dallas,0.55,0.52,22.4,76.4,48.7,59.6,12.8,8.7,8.9,1.2,108.8,108.3,0.5,4242.8,100.5
Charlotte,0.56,0.53,23.0,78.4,51.0,61.8,12.6,7.2,11.8,1.2,110.7,110.8,-0.1,4254.8,100.1
Brooklyn,0.56,0.52,23.4,75.2,49.5,54.6,12.0,7.7,8.9,1.2,110.1,110.9,-0.8,4424.0,99.1
Sacramento,0.57,0.54,25.0,77.8,52.0,58.9,14.1,7.7,8.7,1.3,110.0,110.9,-0.9,4482.7,104.0
Memphis,0.56,0.52,22.2,82.1,52.8,63.1,15.0,7.4,8.2,1.3,104.8,106.5,-1.7,4049.9,95.5
Detroit,0.57,0.53,20.4,74.9,49.0,58.9,13.4,7.6,10.2,1.3,106.3,109.0,-2.7,4124.2,99.3
Washington,0.58,0.54,27.6,79.6,54.0,60.2,14.2,7.8,8.4,1.3,109.7,112.9,-3.2,4554.3,101.6
Orlando,0.56,0.52,21.8,80.3,51.6,58.4,12.4,7.1,8.2,1.2,104.7,108.9,-4.2,4132.7,97.9
Atlanta,0.58,0.54,23.4,75.2,50.0,65.2,13.8,10.4,9.7,1.3,103.9,111.8,-7.9,4406.4,104.7
Phoenix,0.58,0.54,25.9,79.6,53.1,61.3,14.0,9.1,8.0,1.3,105.0,113.1,-8.1,4445.9,99.6
New York,0.58,0.54,24.7,76.4,51.8,61.2,12.5,7.1,10.3,1.3,105.9,114.3,-8.4,4355.0,100.3
Chicago,0.56,0.53,23.9,82.8,53.5,59.9,12.8,7.8,10.1,1.2,101.1,111.3,-10.1,4289.6,98.8
Cleveland,0.59,0.56,23.7,75.8,50.7,58.0,11.7,7.5,9.3,1.3,106.4,117.8,-11.4,4149.7,96.5
