Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PFS,ORB,DRB,REB,AST,STL,BLK,PTS
Atlanta,42,48.1,42.2,89.3,0.47,12.2,33.3,0.37,20.7,27.9,0.74,16.2,22.9,10.4,35.1,45.5,27.5,10.9,5.4,117.3
Washington,44,48.9,42.6,90.2,0.47,12.1,32.8,0.37,19.5,24.9,0.78,16.8,22.3,12.1,36.0,48.1,25.6,8.1,4.8,116.8
New York,43,48.5,43.0,89.9,0.48,11.7,32.3,0.36,17.9,23.7,0.76,14.3,21.3,10.9,37.1,48.0,26.3,7.2,6.3,115.8
Sacramento,43,48.1,42.6,90.6,0.47,11.8,34.1,0.35,18.7,24.6,0.76,16.7,21.6,11.3,37.1,48.4,25.0,8.0,5.4,115.6
New Orleans,43,48.0,42.1,90.8,0.46,12.0,33.2,0.36,18.5,24.5,0.76,13.6,22.5,10.8,32.7,43.5,25.1,8.5,5.3,114.7
Phoenix,44,48.7,41.6,86.6,0.48,10.4,29.0,0.36,20.6,27.3,0.75,16.1,19.5,11.0,34.8,45.7,25.5,9.2,4.7,114.2
L.A. Clippers,42,48.5,41.9,92.3,0.45,10.1,29.0,0.35,20.2,26.1,0.78,12.9,24.5,11.8,33.9,45.7,24.0,8.3,6.0,114.2
Cleveland,43,48.0,42.9,87.1,0.49,11.5,31.1,0.37,16.4,21.2,0.77,12.7,19.3,9.7,33.7,43.4,24.9,7.3,5.6,113.7
Philadelphia,44,48.6,41.3,91.3,0.45,10.4,29.9,0.35,19.6,25.3,0.77,13.4,23.4,10.0,33.5,43.5,22.5,8.0,4.1,112.5
Charlotte,42,48.6,42.0,90.3,0.47,12.0,34.2,0.35,16.3,21.0,0.78,14.3,21.4,10.4,36.0,46.4,26.0,7.3,6.9,112.3
Golden State,42,48.5,40.7,90.5,0.45,11.6,33.5,0.34,18.7,24.5,0.76,13.2,20.3,10.0,33.0,43.0,24.0,7.9,3.4,111.7
Brooklyn,44,48.7,42.1,89.9,0.47,9.5,27.3,0.35,17.9,23.3,0.77,13.7,21.8,10.4,34.1,44.5,23.0,7.7,4.8,111.5
Minnesota,43,48.2,41.1,89.7,0.46,12.1,32.8,0.37,16.6,21.9,0.76,15.5,22.3,11.4,34.4,45.9,25.5,6.4,5.3,111.0
Chicago,43,48.5,41.2,88.9,0.46,11.8,33.1,0.35,16.8,21.3,0.79,14.4,18.5,10.6,36.9,47.5,24.7,7.8,6.0,111.0
L.A. Lakers,43,48.1,41.5,93.3,0.45,10.8,31.4,0.34,17.1,21.7,0.79,14.3,21.3,11.4,35.8,47.2,23.5,8.3,5.3,110.9
Portland,43,48.5,41.1,90.9,0.45,11.2,30.3,0.37,16.3,21.9,0.74,12.5,20.3,10.4,33.7,44.1,23.5,7.8,5.4,109.7
Detroit,41,48.6,40.5,85.5,0.47,8.9,27.5,0.32,19.9,25.5,0.78,14.9,22.5,8.7,35.4,44.1,23.8,7.7,5.7,109.7
San Antonio,44,48.5,41.3,89.5,0.46,11.2,31.5,0.35,15.6,20.5,0.76,12.7,20.9,9.6,34.4,44.0,24.6,7.5,4.5,109.5
Dallas,42,48.2,41.3,89.8,0.46,10.5,30.7,0.34,16.4,21.5,0.77,14.5,24.5,10.3,33.4,43.7,24.6,8.8,4.6,109.4
Houston,41,48.4,40.5,85.8,0.47,9.6,28.5,0.34,18.8,24.5,0.77,14.3,20.7,10.2,33.1,43.2,22.8,8.3,4.7,109.4
Toronto,45,48.6,40.9,90.3,0.45,10.3,29.7,0.35,16.5,21.6,0.76,15.3,20.4,11.0,33.8,44.9,24.6,7.3,4.7,108.5
Milwaukee,41,48.2,39.5,91.4,0.43,13.1,35.8,0.37,16.0,21.6,0.74,14.1,20.6,9.4,34.5,44.0,24.1,7.1,4.5,108.1
Oklahoma City,42,48.2,39.7,88.1,0.45,10.3,30.1,0.34,17.6,23.4,0.76,17.5,22.9,10.2,34.9,45.0,24.2,8.3,5.1,107.4
Orlando,42,48.2,39.8,86.9,0.46,10.6,28.9,0.37,16.9,21.9,0.77,13.6,19.3,9.6,36.5,46.1,23.3,7.0,4.6,107.1
Miami,41,48.1,38.1,86.8,0.44,11.1,31.1,0.36,18.4,24.1,0.76,14.1,21.1,10.5,34.0,44.6,22.0,7.3,5.5,105.6
Boston,42,48.5,38.3,86.5,0.44,10.9,32.9,0.33,18.1,24.0,0.75,15.8,20.1,10.0,35.6,45.6,22.5,6.9,3.8,105.6
Denver,41,48.2,39.1,86.0,0.46,10.4,31.5,0.33,16.7,22.5,0.74,13.6,20.7,9.8,32.1,41.9,23.8,7.8,5.4,105.3
Utah,44,48.0,39.5,86.5,0.46,9.8,27.2,0.36,16.5,22.2,0.74,14.8,22.4,8.9,34.0,42.9,20.8,8.7,4.7,105.2
Indiana,42,48.1,38.1,85.6,0.45,11.7,32.2,0.36,15.3,19.8,0.77,16.0,20.2,10.0,32.5,42.5,23.7,7.5,5.3,103.1
Memphis,42,48.5,36.2,81.0,0.45,11.1,30.5,0.37,19.1,24.7,0.77,16.2,21.5,9.2,35.3,44.5,22.9,7.1,4.5,102.7
