Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PFS,ORB,DRB,REB,AST,STL,BLK,PTS
Washington,44,10760,1875,3969,0.47,533,1444,0.37,858,1097,0.78,737,982,531,1584,2115,1128,356,212,5141
Phoenix,44,10710,1831,3810,0.48,459,1276,0.36,906,1202,0.75,707,860,483,1529,2012,1123,405,206,5027
New York,43,10420,1851,3865,0.48,505,1388,0.36,771,1018,0.76,616,914,468,1595,2063,1132,309,271,4978
Sacramento,43,10345,1830,3897,0.47,507,1465,0.35,804,1058,0.76,717,930,488,1595,2083,1077,345,234,4971
Philadelphia,44,10685,1817,4018,0.45,456,1316,0.35,862,1113,0.77,591,1028,439,1473,1912,991,350,180,4952
New Orleans,43,10320,1810,3903,0.46,516,1427,0.36,797,1055,0.76,583,968,463,1406,1869,1080,367,229,4933
Atlanta,42,10105,1772,3752,0.47,511,1397,0.37,871,1170,0.74,682,962,436,1473,1909,1156,458,228,4926
Brooklyn,44,10710,1851,3955,0.47,418,1200,0.35,787,1027,0.77,601,961,459,1499,1958,1010,338,211,4907
Cleveland,43,10320,1846,3745,0.49,493,1338,0.37,704,910,0.77,548,831,419,1448,1867,1070,312,242,4889
Toronto,45,10925,1839,4063,0.45,462,1337,0.35,741,974,0.76,690,918,497,1522,2019,1107,327,212,4881
San Antonio,44,10660,1819,3939,0.46,493,1387,0.35,686,903,0.76,559,920,423,1512,1935,1082,331,197,4817
L.A. Clippers,42,10180,1760,3876,0.45,426,1216,0.35,849,1095,0.78,543,1031,497,1424,1921,1008,349,254,4795
Minnesota,43,10370,1769,3856,0.46,522,1411,0.37,714,940,0.76,665,960,492,1480,1972,1098,277,229,4774
Chicago,43,10420,1773,3822,0.46,506,1424,0.35,721,917,0.79,619,794,454,1587,2041,1062,334,260,4773
L.A. Lakers,43,10345,1784,4012,0.45,465,1349,0.34,734,931,0.79,614,916,491,1538,2029,1010,359,228,4767
Portland,43,10420,1769,3910,0.45,480,1301,0.37,700,940,0.74,537,873,447,1450,1897,1009,336,234,4718
Charlotte,42,10205,1765,3792,0.47,502,1436,0.35,683,881,0.78,600,899,435,1514,1949,1090,305,288,4715
Golden State,42,10180,1710,3802,0.45,486,1407,0.34,784,1031,0.76,553,851,420,1388,1808,1008,332,144,4690
Utah,44,10560,1736,3806,0.46,432,1199,0.36,726,976,0.74,651,985,390,1497,1887,916,381,208,4630
Dallas,42,10130,1733,3771,0.46,441,1288,0.34,689,901,0.77,610,1029,433,1401,1834,1033,368,192,4596
Oklahoma City,42,10130,1669,3701,0.45,431,1265,0.34,741,982,0.76,733,962,427,1464,1891,1017,350,214,4510
Orlando,42,10130,1673,3648,0.46,445,1214,0.37,708,920,0.77,573,809,402,1535,1937,977,294,194,4499
Detroit,41,9965,1659,3505,0.47,364,1126,0.32,815,1044,0.78,611,923,358,1450,1808,977,315,232,4497
Houston,41,9915,1661,3518,0.47,392,1169,0.34,771,1005,0.77,587,848,417,1356,1773,935,341,192,4485
Milwaukee,41,9890,1620,3748,0.43,537,1467,0.37,657,885,0.74,579,844,386,1416,1802,989,292,184,4434
Boston,42,10180,1608,3635,0.44,459,1381,0.33,759,1006,0.75,664,844,418,1497,1915,945,288,159,4434
Indiana,42,10105,1599,3595,0.45,490,1353,0.36,644,833,0.77,674,847,422,1363,1785,994,316,223,4332
Miami,41,9865,1561,3557,0.44,454,1275,0.36,755,988,0.76,580,866,432,1396,1828,902,300,225,4331
Denver,41,9890,1603,3524,0.46,428,1290,0.33,684,921,0.74,557,848,402,1317,1719,976,319,223,4318
Memphis,42,10180,1522,3404,0.45,468,1279,0.37,801,1036,0.77,679,902,386,1481,1867,960,300,190,4313
