Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PFS,ORB,DRB,REB,AST,STL,BLK,PTS
James Harden,HOU,38,37.1,9.9,22.6,0.44,4.9,12.6,0.39,9.4,11.0,0.86,5.7,3.4,0.7,5.4,6.1,8.7,2.0,0.6,34.1
Anthony Davis,NOP,38,36.9,10.4,20.2,0.51,1.0,3.0,0.33,7.2,9.0,0.81,2.1,2.6,3.4,9.9,13.3,4.4,1.7,2.6,28.9
Stephen Curry,GSW,31,34.5,9.6,19.8,0.49,5.0,11.4,0.44,4.5,4.9,0.92,3.1,2.5,0.7,4.5,5.2,5.6,1.3,0.3,28.8
Kevin Durant,GSW,42,35.6,9.7,19.2,0.51,1.8,5.0,0.37,7.0,7.6,0.91,3.4,1.9,0.5,6.9,7.3,6.1,0.8,1.0,28.2
LeBron James,LAL,34,34.7,10.0,19.3,0.52,2.0,5.6,0.36,5.3,7.8,0.68,3.4,1.6,0.9,7.4,8.3,7.1,1.3,0.7,27.3
Kawhi Leonard,TOR,34,34.6,9.5,18.9,0.5,1.7,4.7,0.37,6.4,7.6,0.84,2.0,1.5,1.3,6.6,7.9,3.1,1.9,0.5,27.1
Joel Embiid,PHI,40,33.7,8.9,18.2,0.49,1.1,3.8,0.3,8.0,9.9,0.81,3.5,3.3,2.3,11.1,13.4,3.5,0.6,1.9,26.9
Paul George,OKC,41,35.7,9.1,20.5,0.45,3.3,8.7,0.38,5.1,6.2,0.83,2.7,2.8,1.5,6.6,8.1,3.9,2.2,0.5,26.7
Giannis Antetokounmpo,MIL,38,33.6,9.9,17.1,0.58,0.4,2.4,0.17,6.3,9.0,0.7,4.1,3.4,2.4,10.4,12.8,6.0,1.3,1.5,26.6
Damian Lillard,POR,43,35.2,8.5,19.0,0.45,2.9,7.6,0.38,5.9,6.6,0.9,2.8,1.8,0.8,3.7,4.5,6.1,1.0,0.5,25.8
