Player,Team,TS%,eFG%,oREB%,dREB%,tREB%,AST%,TOV%,STL%,BLK%,USG%,PPS,oRAT,dRAT,eDIF,PER
Anthony Davis,NOP,0.6,0.54,10.0,27.3,19.0,18.8,7.8,2.2,5.9,29.3,1.4,125.1,104.2,20.9,31.2
James Harden,HOU,0.62,0.55,2.1,16.8,9.4,44.4,17.1,2.7,1.4,39.1,1.5,117.7,109.2,8.5,29.3
Giannis Antetokounmpo,MIL,0.63,0.59,7.9,30.4,19.8,29.7,16.2,1.8,4.0,31.4,1.6,117.8,99.7,18.2,29.0
Kawhi Leonard,TOR,0.61,0.55,4.1,20.1,12.3,15.4,8.4,2.6,1.2,30.3,1.4,120.9,105.4,15.5,27.3
LeBron James,LAL,0.6,0.57,2.9,21.5,12.6,33.9,13.1,1.7,1.6,31.4,1.4,116.4,106.2,10.2,26.9
Nikola Jokic,DEN,0.59,0.54,9.7,25.6,17.6,38.0,16.5,2.2,2.1,26.7,1.3,118.6,104.2,14.3,26.2
Nikola Vucevic,ORL,0.58,0.56,8.8,33.5,21.0,22.8,10.7,1.6,3.0,27.5,1.3,114.1,102.9,11.2,25.9
Joel Embiid,PHI,0.6,0.52,7.6,33.8,21.2,17.9,13.4,0.8,4.4,32.5,1.5,113.8,103.6,10.2,25.6
Kevin Durant,GSW,0.63,0.56,1.5,20.2,11.2,27.5,13.0,1.0,2.5,31.0,1.5,119.7,109.9,9.8,25.6
Montrezl Harrell,LAC,0.65,0.63,10.7,17.5,14.2,11.1,9.8,1.7,4.5,22.7,1.6,126.7,108.3,18.4,25.6
Stephen Curry,GSW,0.66,0.61,2.2,13.5,8.1,25.4,12.5,1.8,0.8,30.8,1.5,121.7,110.6,11.1,25.5
Jonas Valanciunas,TOR,0.64,0.59,10.9,29.4,20.6,8.1,11.5,1.1,3.3,25.7,1.5,122.0,101.7,20.3,25.2
Boban Marjanovic,LAC,0.66,0.6,14.7,26.7,20.9,9.6,17.4,1.2,4.0,24.6,1.7,120.7,106.5,14.2,24.9
Clint Capela,HOU,0.64,0.63,16.0,26.2,21.0,7.4,10.4,0.9,4.6,19.6,1.5,130.3,109.1,21.2,24.8
Kyrie Irving,BOS,0.59,0.56,3.8,12.1,7.9,34.4,11.5,2.4,1.3,29.1,1.3,117.6,105.2,12.4,24.6
Domas Sabonis,IND,0.67,0.63,12.0,30.1,21.3,18.7,16.9,1.2,1.8,23.4,1.6,122.2,102.8,19.4,24.4
Karl-Anthony Towns,MIN,0.6,0.55,10.8,29.3,19.9,14.5,13.4,1.3,5.0,27.1,1.4,115.1,105.7,9.4,24.4
Richaun Holmes,PHX,0.7,0.68,11.3,20.9,16.0,8.4,11.7,2.0,6.0,17.7,1.7,133.0,107.9,25.1,23.9
Jusuf Nurkic,POR,0.57,0.52,13.7,26.4,20.2,17.0,14.6,2.0,4.1,24.5,1.4,115.3,103.4,11.9,23.9
Rudy Gobert,UTA,0.67,0.65,12.7,30.8,21.8,10.5,12.3,1.4,5.2,17.2,1.7,130.7,100.4,30.3,23.7
Damian Lillard,POR,0.59,0.52,2.4,10.8,6.7,28.4,11.3,1.4,1.2,29.7,1.4,118.7,111.4,7.3,23.5
Paul George,OKC,0.57,0.53,4.2,19.3,11.7,17.4,10.4,2.9,1.3,29.5,1.3,114.4,101.6,12.8,23.3
Enes Kanter,NYK,0.59,0.55,15.2,28.5,21.6,12.7,13.2,0.8,1.3,22.2,1.3,119.0,112.8,6.2,22.5
LaMarcus Aldridge,SAS,0.57,0.51,9.5,19.2,14.4,12.0,9.2,0.8,2.9,27.0,1.3,114.8,109.8,5.0,22.0
John Collins,ATL,0.63,0.61,13.8,24.3,18.9,13.1,13.1,0.4,1.2,23.3,1.4,121.0,113.9,7.1,21.9
Julius Randle,NOP,0.61,0.56,8.5,24.7,16.8,14.7,13.1,0.9,1.6,26.2,1.5,117.2,111.3,5.9,21.9
DeAndre Ayton,PHX,0.62,0.6,11.3,27.9,19.5,11.6,12.0,1.2,2.6,21.3,1.4,119.4,110.8,8.6,21.8
Nerlens Noel,OKC,0.62,0.59,13.0,21.5,17.2,5.4,12.7,3.4,8.8,13.7,1.4,125.9,93.7,32.2,21.7
Willy Hernangomez,CHA,0.58,0.54,16.1,26.2,21.1,11.5,13.7,1.0,2.2,23.6,1.4,116.6,108.7,7.9,21.6
Thomas Bryant,WAS,0.72,0.69,6.9,25.0,15.7,7.5,8.7,1.1,3.6,15.6,1.6,138.2,110.7,27.5,21.6
Kemba Walker,CHA,0.56,0.51,1.5,11.8,6.6,28.0,10.4,1.7,1.1,31.0,1.3,111.3,112.1,-0.7,21.5
Blake Griffin,DET,0.59,0.54,3.6,22.3,12.4,25.9,14.9,1.1,1.1,29.5,1.4,112.3,108.8,3.4,21.5
Lou Williams,LAC,0.56,0.47,1.7,8.8,5.4,30.8,12.5,1.0,0.3,31.5,1.3,112.4,114.6,-2.2,21.2
Hassan Whiteside,MIA,0.52,0.52,15.2,35.7,25.3,5.1,11.8,1.1,8.1,22.4,1.2,105.3,98.8,6.5,21.1
Jimmy Butler,PHI,0.58,0.52,5.6,10.2,7.9,16.5,8.4,2.9,1.5,23.2,1.3,119.5,110.0,9.4,21.0
Ben Simmons,PHI,0.59,0.57,7.1,21.8,14.6,37.8,19.7,1.9,1.7,22.0,1.4,114.8,107.0,7.8,21.0
Derrick Favors,UTA,0.62,0.6,13.1,19.8,16.4,7.1,11.0,1.6,4.5,18.6,1.5,122.1,103.1,19.0,20.8
JaVale McGee,LAL,0.61,0.6,11.4,18.7,15.2,5.6,14.6,1.5,8.0,19.3,1.3,113.5,102.5,11.0,20.7
Andre Drummond,DET,0.52,0.51,16.2,33.3,24.4,6.2,13.9,2.3,4.4,23.7,1.2,103.7,101.5,2.2,20.6
Mike Conley,MEM,0.55,0.48,2.0,9.3,5.6,32.2,8.8,2.0,1.1,27.4,1.2,112.6,108.8,3.8,20.4
Steven Adams,OKC,0.6,0.6,13.9,16.7,15.3,7.2,10.6,2.0,2.0,17.0,1.4,124.1,103.5,20.5,20.3
Danilo Gallinari,LAC,0.63,0.55,3.3,16.6,10.3,11.9,8.3,1.1,0.7,22.7,1.5,124.9,112.8,12.1,20.3
DeMar DeRozan,SAS,0.53,0.47,2.4,16.5,9.6,28.8,10.9,1.4,1.2,29.0,1.2,109.3,110.3,-1.0,20.0
Dwight Powell,DAL,0.65,0.61,9.4,18.4,14.0,9.3,12.2,1.4,3.1,19.4,1.6,125.8,106.6,19.2,20.0
Russell Westbrook,OKC,0.48,0.45,3.9,27.8,15.7,45.1,17.3,3.3,0.8,31.0,1.1,100.1,99.2,0.9,20.0
