Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PFS,ORB,DRB,REB,AST,STL,BLK,PTS
James Harden,HOU,38,1408.0,376,859,0.44,187,480,0.39,358,418,0.86,215,131,27,205,232,330,76,24,1297
Kevin Durant,GSW,42,1496.8,408,805,0.51,77,209,0.37,292,320,0.91,141,79,20,288,308,257,33,44,1185
Damian Lillard,POR,43,1513.8,364,817,0.45,126,328,0.38,255,284,0.9,120,77,34,161,195,263,44,23,1109
Anthony Davis,NOP,38,1403.8,394,769,0.51,37,114,0.33,275,341,0.81,78,97,128,376,504,166,66,100,1100
Paul George,OKC,41,1461.9,374,841,0.45,137,358,0.38,209,253,0.83,110,115,61,270,331,159,90,22,1094
Joel Embiid,PHI,40,1347.5,356,727,0.49,46,153,0.3,319,396,0.81,140,133,93,444,537,140,23,75,1077
Kemba Walker,CHA,42,1438.3,361,832,0.43,133,375,0.35,197,242,0.81,109,70,20,157,177,239,51,19,1052
Bradley Beal,WAS,43,1577.2,391,826,0.47,108,307,0.35,160,200,0.8,114,127,44,164,208,207,56,35,1050
Giannis Antetokounmpo,MIL,38,1276.7,378,651,0.58,15,90,0.17,239,342,0.7,155,128,92,394,486,228,49,58,1010
Blake Griffin,DET,39,1405.9,338,707,0.48,93,256,0.36,228,301,0.76,147,110,49,274,323,205,31,18,997
DeMar DeRozan,SAS,44,1553.2,371,796,0.47,7,40,0.17,222,269,0.82,112,99,34,238,272,282,46,22,971
Karl-Anthony Towns,MIN,43,1444.5,352,709,0.5,75,198,0.38,186,224,0.83,125,165,148,393,541,127,38,85,965
LeBron James,LAL,34,1178.2,340,656,0.52,68,191,0.36,180,264,0.68,116,54,32,251,283,243,44,24,928
Kawhi Leonard,TOR,34,1177.1,322,641,0.5,59,160,0.37,218,258,0.84,69,52,44,225,269,106,63,17,921
Klay Thompson,GSW,42,1450.5,358,790,0.45,116,317,0.37,85,106,0.8,68,86,19,154,173,84,52,30,917
LaMarcus Aldridge,SAS,44,1434.0,358,702,0.51,2,15,0.13,188,223,0.84,81,94,123,255,378,107,24,50,906
Jrue Holiday,NOP,43,1574.3,347,723,0.48,70,215,0.33,130,167,0.78,152,111,52,146,198,354,72,33,894
Stephen Curry,GSW,31,1070.1,299,614,0.49,156,352,0.44,140,153,0.92,97,78,21,139,160,173,40,10,894
C.J. McCollum,POR,42,1434.9,350,757,0.46,84,249,0.34,101,122,0.83,65,107,36,120,156,111,34,16,885
Tobias Harris,LAC,42,1436.4,326,650,0.5,81,187,0.43,140,158,0.89,82,88,30,309,339,93,32,17,873
Zach LaVine,CHI,37,1262.5,308,674,0.46,67,187,0.36,189,218,0.87,132,84,16,144,160,153,35,17,872
Buddy Hield,SAC,43,1344.9,327,689,0.47,141,318,0.44,71,83,0.85,83,104,51,158,209,98,20,15,866
Kyrie Irving,BOS,38,1218.7,328,671,0.49,95,239,0.4,111,130,0.85,95,84,44,138,182,244,62,17,862
Donovan Mitchell,UTA,40,1317.4,317,753,0.42,89,274,0.33,130,164,0.79,108,109,23,123,146,147,63,15,853
Julius Randle,NOP,42,1236.8,307,565,0.54,24,77,0.31,196,270,0.73,103,142,96,296,392,120,24,24,834
Mike Conley,MEM,41,1389.4,277,663,0.42,89,251,0.35,184,218,0.84,73,70,25,110,135,256,55,16,827
Nikola Vucevic,ORL,41,1260.4,343,653,0.53,48,126,0.38,89,116,0.77,84,80,104,387,491,153,41,46,823
Luka Doncic,DAL,41,1314.3,269,619,0.43,98,266,0.37,186,253,0.73,132,75,44,231,275,207,46,11,822
Danilo Gallinari,LAC,41,1301.9,243,535,0.45,99,223,0.44,216,237,0.91,58,84,39,212,251,103,29,12,801
Nikola Jokic,DEN,41,1283.5,298,595,0.5,45,144,0.31,148,176,0.84,133,113,116,303,419,307,58,31,789
D'Angelo Russell,BRK,43,1261.2,309,721,0.43,103,289,0.36,67,82,0.82,126,71,21,141,162,272,48,12,788
Tim Hardaway Jr.,NYK,39,1283.5,249,636,0.39,102,294,0.35,173,202,0.86,75,90,22,110,132,105,37,5,773
