Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PFS,ORB,DRB,REB,AST,STL,BLK,PTS
Golden State,42,48.5,43.5,89.4,0.49,12.5,32.6,0.38,17.9,21.7,0.82,14.6,21.8,10.0,36.2,46.1,28.5,7.3,6.4,117.4
Milwaukee,41,48.2,43.2,90.5,0.48,13.4,38.6,0.35,17.4,22.7,0.77,14.7,20.6,9.4,39.8,49.2,26.5,7.5,6.0,117.2
New Orleans,43,48.0,43.5,90.4,0.48,10.0,28.1,0.35,19.9,25.6,0.78,14.8,22.4,11.3,35.6,46.9,26.8,7.6,5.5,116.9
L.A. Clippers,42,48.5,41.4,87.2,0.47,9.4,24.5,0.38,23.2,28.9,0.8,14.8,22.8,9.7,35.7,45.5,22.8,6.2,4.9,115.3
Sacramento,43,48.1,43.6,93.0,0.47,11.8,30.3,0.39,15.6,22.1,0.71,14.0,21.9,10.6,34.1,44.7,25.7,8.4,4.6,114.7
Philadelphia,44,48.6,41.1,87.6,0.47,11.0,31.3,0.35,21.5,28.1,0.76,15.8,22.7,10.6,36.8,47.4,27.0,7.4,5.4,114.6
Toronto,45,48.6,42.5,89.6,0.47,11.4,33.1,0.34,17.6,22.0,0.8,14.1,21.2,10.2,35.2,45.3,24.2,8.5,5.6,114.0
Washington,44,48.9,42.0,90.2,0.47,11.2,33.1,0.34,18.3,24.1,0.76,14.3,21.6,9.2,31.7,40.9,25.5,9.0,5.1,113.5
Oklahoma City,42,48.2,42.7,93.4,0.46,9.8,29.8,0.33,17.6,24.9,0.71,14.5,22.5,12.5,36.0,48.5,22.6,10.2,5.5,112.8
San Antonio,44,48.5,42.2,88.1,0.48,9.8,24.4,0.4,18.1,22.1,0.82,12.5,18.5,9.4,35.3,44.7,24.8,6.2,4.5,112.3
Charlotte,42,48.6,41.0,90.8,0.45,11.7,32.6,0.36,18.5,23.4,0.79,12.9,19.7,10.0,34.6,44.6,23.8,7.2,5.1,112.1
Boston,42,48.5,41.4,90.4,0.46,13.2,36.1,0.36,15.9,19.9,0.8,13.2,20.8,10.1,34.9,45.1,26.0,8.7,5.3,111.9
Portland,43,48.5,41.3,89.7,0.46,10.9,30.6,0.36,18.5,22.8,0.81,14.6,20.3,11.2,37.2,48.4,22.0,6.7,5.1,111.9
L.A. Lakers,43,48.1,42.7,90.5,0.47,10.4,30.8,0.34,16.1,23.5,0.69,15.7,20.4,10.0,37.0,46.9,24.3,8.0,5.7,111.8
Minnesota,43,48.2,41.0,91.0,0.45,10.2,28.7,0.35,19.4,24.5,0.79,13.1,20.3,11.4,33.3,44.7,24.7,9.0,5.7,111.6
Houston,41,48.4,38.3,85.4,0.45,15.3,43.2,0.35,19.4,25.1,0.77,14.4,22.7,10.9,31.3,42.2,21.4,7.6,5.3,111.4
Brooklyn,44,48.7,39.8,87.7,0.45,12.3,34.1,0.36,18.9,25.2,0.75,15.3,22.3,11.2,34.1,45.4,23.5,6.6,4.1,110.7
Denver,41,48.2,41.6,89.8,0.46,10.8,30.7,0.35,16.4,21.9,0.75,14.0,20.4,12.7,34.7,47.3,27.3,8.1,4.8,110.3
Dallas,42,48.2,38.8,85.9,0.45,11.9,34.4,0.35,20.5,27.4,0.75,16.0,20.0,10.3,35.7,46.0,22.6,7.6,4.5,109.9
Atlanta,42,48.1,40.2,89.9,0.45,11.4,34.1,0.34,17.2,23.4,0.74,18.8,23.7,11.5,33.9,45.5,25.4,8.7,5.4,109.0
Indiana,42,48.1,41.9,86.9,0.48,9.3,25.0,0.37,15.4,20.7,0.74,14.5,19.1,9.3,34.2,43.5,25.8,9.1,5.0,108.4
Utah,44,48.0,39.2,85.0,0.46,11.3,32.7,0.35,18.2,25.2,0.72,15.3,21.5,9.5,35.4,44.9,24.7,8.7,5.5,108.0
New York,43,48.5,39.2,91.0,0.43,10.2,29.7,0.34,18.7,24.0,0.78,13.9,21.6,11.5,33.2,44.7,19.9,7.3,4.4,107.3
Detroit,41,48.6,39.0,89.7,0.43,11.2,34.0,0.33,17.7,24.2,0.73,15.3,23.0,11.9,34.0,45.9,22.0,7.1,3.9,106.9
Miami,41,48.1,39.1,88.9,0.44,11.9,33.3,0.36,16.4,23.7,0.69,14.6,21.6,12.1,34.9,47.1,23.6,7.8,6.0,106.7
Phoenix,44,48.7,40.2,87.4,0.46,9.9,29.0,0.34,15.9,20.2,0.79,16.0,24.0,8.9,31.5,40.4,24.1,9.2,4.9,106.1
Orlando,42,48.2,38.7,87.5,0.44,11.0,31.5,0.35,14.7,19.0,0.77,14.0,19.5,9.0,34.3,43.2,24.2,6.6,5.4,103.0
Cleveland,43,48.0,38.5,86.7,0.44,9.3,26.1,0.36,16.4,20.5,0.8,13.7,20.9,10.7,31.4,42.1,20.3,7.0,2.6,102.7
Memphis,42,48.5,37.4,82.4,0.45,9.2,27.1,0.34,17.0,22.3,0.76,13.8,22.7,7.7,32.1,39.8,23.0,8.7,6.1,101.0
Chicago,43,48.5,38.3,86.0,0.45,9.2,26.4,0.35,15.2,19.4,0.78,15.1,20.3,7.7,33.6,41.3,21.5,7.9,4.5,100.9
