Team,TS%,eFG%,oREB%,dREB%,tREB%,AST%,TOV%,STL%,BLK%,PPS,oRAT,dRAT,eDIF,POS,PACE
Milwaukee,0.58,0.55,21.5,80.9,52.8,61.3,12.7,7.2,10.8,1.3,113.5,104.7,8.8,4235.7,102.8
Boston,0.56,0.53,22.2,77.8,49.7,62.8,11.7,8.7,9.9,1.2,111.7,105.4,6.3,4208.6,99.2
Golden State,0.59,0.56,23.2,78.3,51.7,65.5,12.9,7.1,11.1,1.3,115.4,109.7,5.6,4273.4,100.7
Toronto,0.57,0.54,23.1,76.1,50.3,57.0,12.4,8.3,9.2,1.3,112.6,107.2,5.4,4553.3,100.0
Indiana,0.56,0.54,22.3,77.3,50.6,61.5,13.1,9.3,9.3,1.2,109.9,104.5,5.4,4143.9,98.4
Oklahoma City,0.54,0.51,26.4,78.0,51.8,53.0,12.2,9.8,9.4,1.2,108.7,103.5,5.2,4357.4,103.2
Denver,0.56,0.52,28.3,78.0,53.0,65.6,12.4,8.3,8.8,1.2,112.8,107.8,5.1,4007.3,97.2
San Antonio,0.57,0.53,21.4,78.6,50.4,58.9,11.3,6.3,7.7,1.3,113.1,110.3,2.8,4367.1,98.3
Utah,0.56,0.53,21.8,80.0,51.2,63.0,13.7,8.7,9.2,1.3,108.1,105.3,2.8,4395.7,99.9
New Orleans,0.57,0.54,25.6,76.8,51.9,61.6,12.7,7.4,9.6,1.3,114.1,112.0,2.2,4405.6,102.5
Portland,0.56,0.52,24.9,78.2,52.3,53.3,12.7,6.6,8.4,1.2,111.3,109.2,2.2,4321.0,99.5
Houston,0.58,0.54,24.8,75.5,49.4,55.8,13.0,7.8,9.3,1.3,114.1,112.0,2.0,4003.4,96.9
Philadelphia,0.57,0.53,24.0,78.7,52.2,65.6,13.6,7.2,8.8,1.3,111.1,109.2,2.0,4536.6,101.9
L.A. Clippers,0.58,0.53,22.3,75.1,49.9,55.0,12.9,6.1,7.7,1.3,112.7,111.6,1.1,4296.2,101.3
Miami,0.54,0.51,26.3,76.8,51.4,60.2,12.8,7.9,10.7,1.2,108.0,106.9,1.0,4050.4,98.5
L.A. Lakers,0.56,0.53,21.8,76.4,49.9,57.1,13.4,7.8,9.2,1.2,107.6,106.7,0.9,4467.7,103.6
Minnesota,0.55,0.51,24.9,74.4,49.4,60.1,11.4,8.9,10.0,1.2,110.9,110.4,0.6,4326.1,100.1
Dallas,0.56,0.52,23.6,77.6,51.3,58.3,14.0,7.5,7.6,1.3,108.8,108.3,0.5,4242.8,100.5
Charlotte,0.55,0.52,21.6,77.0,49.0,58.1,11.3,7.1,9.0,1.2,110.7,110.8,-0.1,4254.8,100.1
Brooklyn,0.56,0.52,24.8,76.6,50.5,59.1,13.4,6.6,6.5,1.3,110.1,110.9,-0.8,4424.0,99.1
Sacramento,0.56,0.53,22.2,75.0,48.0,58.9,12.0,8.1,8.2,1.2,110.0,110.9,-0.9,4482.7,104.0
Memphis,0.55,0.51,17.9,77.8,47.2,61.5,13.0,9.0,12.0,1.2,104.8,106.5,-1.7,4049.9,95.5
Detroit,0.53,0.5,25.1,79.6,51.0,56.6,13.2,7.1,6.7,1.2,106.3,109.0,-2.7,4124.2,99.3
Washington,0.56,0.53,20.4,72.4,46.0,60.8,12.4,8.7,8.8,1.3,109.7,112.9,-3.2,4554.3,101.6
Orlando,0.54,0.51,19.7,78.2,48.4,62.5,12.7,6.7,9.4,1.2,104.7,108.9,-4.2,4132.7,97.9
Atlanta,0.54,0.51,24.8,76.6,50.0,63.2,15.8,8.3,9.6,1.2,103.9,111.8,-7.9,4406.4,104.7
Phoenix,0.55,0.52,20.4,74.1,46.9,59.9,14.2,9.1,8.6,1.2,105.0,113.1,-8.1,4445.9,99.6
New York,0.53,0.49,23.6,75.3,48.2,50.7,12.0,7.2,7.7,1.2,105.9,114.3,-8.4,4355.0,100.3
Chicago,0.53,0.5,17.2,76.1,46.5,56.3,13.8,7.9,8.0,1.2,101.1,111.3,-10.1,4289.6,98.8
Cleveland,0.54,0.5,24.2,76.3,49.3,52.7,12.6,7.2,4.6,1.2,106.4,117.8,-11.4,4149.7,96.5
