Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PFS,ORB,DRB,REB,AST,STL,BLK,PTS
Toronto,45,10925,1912,4034,0.47,512,1489,0.34,792,990,0.8,634,952,457,1583,2040,1089,381,251,5128
Philadelphia,44,10685,1807,3854,0.47,484,1377,0.35,944,1235,0.76,694,1000,466,1618,2084,1186,327,237,5042
New Orleans,43,10320,1872,3887,0.48,429,1208,0.35,855,1101,0.78,637,964,485,1530,2015,1154,325,237,5028
Washington,44,10760,1847,3969,0.47,495,1457,0.34,806,1060,0.76,629,951,406,1394,1800,1123,397,223,4995
San Antonio,44,10660,1855,3875,0.48,432,1072,0.4,798,973,0.82,548,815,412,1554,1966,1092,275,197,4940
Golden State,42,10180,1827,3754,0.49,525,1369,0.38,751,911,0.82,614,915,419,1519,1938,1197,306,267,4930
Sacramento,43,10345,1876,3998,0.47,508,1304,0.39,670,949,0.71,600,943,455,1466,1921,1105,363,199,4930
Brooklyn,44,10710,1750,3859,0.45,541,1501,0.36,831,1109,0.75,673,981,495,1501,1996,1035,291,179,4872
L.A. Clippers,42,10180,1737,3662,0.47,395,1029,0.38,974,1213,0.8,622,959,409,1501,1910,956,262,206,4843
Portland,43,10420,1774,3857,0.46,468,1315,0.36,795,979,0.81,626,875,481,1599,2080,945,287,220,4811
L.A. Lakers,43,10345,1834,3890,0.47,447,1323,0.34,692,1009,0.69,673,878,429,1589,2018,1047,345,245,4807
Milwaukee,41,9890,1773,3711,0.48,549,1583,0.35,712,931,0.77,601,846,387,1630,2017,1086,306,246,4807
Minnesota,43,10370,1764,3912,0.45,438,1233,0.35,833,1055,0.79,564,871,491,1431,1922,1060,386,245,4799
Utah,44,10560,1725,3741,0.46,498,1437,0.35,803,1108,0.72,674,946,418,1558,1976,1086,382,240,4751
Oklahoma City,42,10130,1792,3924,0.46,412,1252,0.33,741,1046,0.71,610,944,525,1510,2035,950,429,230,4737
Charlotte,42,10205,1722,3815,0.45,490,1369,0.36,775,983,0.79,542,828,418,1454,1872,1000,302,213,4709
Boston,42,10180,1740,3796,0.46,554,1518,0.36,667,835,0.8,553,875,426,1467,1893,1092,367,223,4701
Phoenix,44,10710,1768,3846,0.46,434,1277,0.34,699,888,0.79,703,1054,393,1385,1778,1059,406,217,4669
Dallas,42,10130,1629,3608,0.45,500,1445,0.35,859,1151,0.75,672,838,432,1501,1933,950,319,189,4617
New York,43,10420,1686,3914,0.43,439,1276,0.34,802,1034,0.78,597,930,493,1428,1921,855,312,190,4613
Atlanta,42,10105,1688,3774,0.45,480,1434,0.34,724,983,0.74,788,995,485,1424,1909,1067,365,227,4580
Houston,41,9915,1572,3501,0.45,628,1771,0.35,794,1030,0.77,592,930,447,1283,1730,877,313,219,4566
Indiana,42,10105,1759,3650,0.48,389,1049,0.37,647,870,0.74,608,804,391,1435,1826,1082,383,209,4554
Denver,41,9890,1705,3682,0.46,441,1259,0.35,671,898,0.75,575,837,519,1422,1941,1119,332,196,4522
Cleveland,43,10320,1656,3729,0.44,401,1123,0.36,704,883,0.8,591,898,462,1350,1812,872,300,110,4417
Detroit,41,9965,1598,3676,0.43,461,1396,0.33,727,991,0.73,626,945,487,1394,1881,904,291,159,4384
Miami,41,9865,1605,3646,0.44,489,1365,0.36,674,972,0.69,598,887,498,1432,1930,966,320,245,4373
Chicago,43,10420,1645,3700,0.45,394,1135,0.35,654,836,0.78,651,871,330,1444,1774,926,339,193,4338
Orlando,42,10130,1625,3674,0.44,460,1321,0.35,616,798,0.77,586,819,377,1439,1816,1016,277,228,4326
Memphis,42,10180,1572,3460,0.45,388,1138,0.34,712,938,0.76,579,954,322,1349,1671,966,366,255,4244
